University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
93,Université Paris-Saclay,France,"44,443",0.0625539257981018,19%,49 : 51,63.9,0.5420673076923077,0.5178764897074757,0.7893145161290321,0.2805071315372425,0.6495327102803738
94,University of Bern,Switzerland,"11,728",0.0724762726488352,17%,58 : 42,63.7,0.4134615384615384,0.4236186348862405,0.90625,0.7828843106180665,0.8656542056074767
95,"University of California, Irvine",United States,"36,655",0.0711820534943917,28%,52 : 48,63.6,0.3834134615384615,0.4788732394366197,0.935483870967742,0.3565768621236133,0.6904205607476637
95,Institut Polytechnique de Paris,France,"5,999",0.0271786022433132,41%,24 : 76,63.6,0.563701923076923,0.5568797399783315,0.6451612903225806,0.5673534072900159,0.9521028037383176
95,Nanjing University,China,"36,426",0.0694564279551337,8%,54 : 46,63.6,0.5625,0.5503791982665223,0.7409274193548386,0.7987321711568938,0.4801401869158878
98,Vanderbilt University,United States,"12,696",0.0146678170836928,15%,55 : 45,63.5,0.4555288461538461,0.4344528710725894,0.964717741935484,0.4722662440570524,0.4264018691588785
99,City University of Hong Kong,United States,"9,099",0.0504745470232959,62%,54 : 46,63.4,0.4278846153846154,0.4940411700975081,0.7973790322580646,0.629160063391442,0.9988317757009346
99,RWTH Aachen University,Germany,"39,738",0.2139775668679896,28%,33 : 67,63.4,0.5432692307692307,0.6186348862405201,0.658266129032258,0.9017432646592708,0.5957943925233644
101,University of Basel,Switzerland,"8,632",0.045297670405522,30%,57 : 43,63.0,0.4254807692307693,0.3976164680390033,0.8639112903225806,0.9873217115689384,0.9661214953271028
101,King Abdulaziz University,United States,"31,545",0.0319240724762726,22%,54 : 46,63.0,0.4819711538461538,0.3174431202600217,0.9183467741935484,0.5911251980982568,0.9287383177570092
101,University of Minnesota,United States,"61,009",0.0500431406384814,10%,54 : 46,63.0,0.5228365384615384,0.5362946912242686,0.810483870967742,0.6481774960380349,0.3224299065420561
104,"University of Maryland, College Park",United States,"33,775",0.0694564279551337,11%,49 : 51,62.9,0.4387019230769231,0.5449620801733478,0.8961693548387097,0.0491283676703644,0.3329439252336448
104,University of Warwick,United States,"23,230",0.0547886108714409,44%,50 : 50,62.9,0.3990384615384614,0.457204767063922,0.8800403225806451,0.0919175911251981,0.9439252336448598
106,Michigan State University,United States,"45,465",0.0672993960310612,13%,52 : 48,62.8,0.5360576923076923,0.5222101841820153,0.7862903225806451,0.0475435816164817,0.558411214953271
107,Ghent University,Belgium,"39,437",0.1518550474547023,12%,57 : 43,62.7,0.4447115384615384,0.5709642470205851,0.7762096774193548,0.6830427892234547,0.5817757009345794
108,University of Birmingham,United Kingdom,"31,820",0.0629853321829163,34%,58 : 42,62.6,0.3473557692307691,0.4203683640303359,0.9516129032258064,0.0855784469096671,0.9123831775700936
108,University of Southampton,United Kingdom,"21,175",0.0573770491803278,39%,53 : 47,62.6,0.3581730769230768,0.4344528710725894,0.9223790322580644,0.1141045958795562,0.9404205607476634
110,University of Helsinki,Finland,"23,059",0.0664365832614322,5%,67 : 33,62.5,0.4122596153846154,0.5536294691224269,0.8649193548387096,0.0348652931854199,0.5011682242990654
111,University of Montreal,United States,"38,189",0.088006902502157,22%,58 : 42,62.3,0.4723557692307691,0.4962080173347779,0.7560483870967741,0.6275752773375594,0.8341121495327102
112,Ohio State University (Main campus),United States,"55,814",0.0491803278688524,13%,51 : 49,62.2,0.4975961538461538,0.4745395449620802,0.8326612903225807,0.2916006339144215,0.5397196261682242
113,University of Freiburg,Germany,"20,253",0.1587575496117342,17%,53 : 47,61.9,0.4350961538461538,0.4918743228602383,0.8064516129032258,0.9397781299524566,0.6214953271028036
114,University of Copenhagen,Denmark,"31,519",0.0163934426229508,16%,62 : 38,61.7,0.4026442307692308,0.4344528710725894,0.8709677419354839,0.2868462757527733,0.8247663551401869
114,Université Paris Cité,United States,"62,747",0.0716134598792062,19%,65 : 35,61.7,0.4795673076923077,0.4052004333694474,0.8921370967741935,0.0063391442155308,0.6331775700934579
114,University of Sheffield,United States,"27,465",0.0608283002588438,41%,53 : 47,61.7,0.3846153846153847,0.4225352112676056,0.8941532258064516,0.1664025356576861,0.8691588785046729
117,Aarhus University,Denmark,"26,475",0.0565142364106988,10%,55 : 45,61.2,0.3485576923076923,0.5698808234019502,0.7741935483870968,0.5895404120443739,0.7453271028037385
118,University of Alberta,Canada,"32,338",0.091458153580673,28%,58 : 42,61.1,0.4471153846153846,0.4907908992416036,0.7268145161290323,0.7258320126782885,0.877336448598131
119,University of Göttingen,Germany,"30,221",0.1104400345125107,14%,52 : 48,61.0,0.4170673076923077,0.5027085590465872,0.8377016129032259,0.0507131537242472,0.5712616822429906
119,Lund University,Sweden,"28,545",0.0478861087144089,18%,55 : 45,61.0,0.3473557692307691,0.5211267605633803,0.8084677419354839,0.6751188589540411,0.7523364485981308
121,Vrije Universiteit Amsterdam,Netherlands,"29,796",0.083692838654012,16%,56 : 44,60.9,0.3221153846153846,0.4853737811484291,0.873991935483871,0.3518225039619651,0.7628504672897196
122,Lancaster University,United Kingdom,"14,380",0.0534943917169974,39%,51 : 49,60.8,0.3257211538461538,0.3531960996749729,0.96875,0.022187004754358,0.9439252336448598
123,Dartmouth College,United States,"6,440",0.0319240724762726,15%,49 : 51,60.7,0.579326923076923,0.3575297941495124,0.8810483870967742,0.0491283676703644,0.3259345794392523
124,Queen Mary University of London,United Kingdom,"20,505",0.0547886108714409,46%,55 : 45,60.4,0.2728365384615384,0.3672806067172264,0.9768145161290324,0.1125198098256735,0.969626168224299
124,University of Vienna,Austria,"35,929",0.1833477135461604,29%,66 : 34,60.4,0.454326923076923,0.562296858071506,0.6481854838709676,0.1251980982567353,0.9544392523364488
126,University of Oslo,Norway,"21,548",0.0556514236410698,15%,66 : 34,60.2,0.3425480769230768,0.4452871072589383,0.8891129032258064,0.1204437400950871,0.7348130841121496
127,Purdue University West Lafayette,United States,"44,551",0.0711820534943917,20%,44 : 56,60.1,0.532451923076923,0.6153846153846154,0.5655241935483871,0.4896988906497623,0.6658878504672896
128,University of Hamburg,Germany,"30,676",0.2635893011216566,12%,58 : 42,59.8,0.4194711538461538,0.5092091007583965,0.7520161290322581,0.9381933438985736,0.5408878504672896
128,University of Leeds,United Kingdom,"33,990",0.0612597066436583,36%,60 : 40,59.8,0.4134615384615384,0.437703141928494,0.7913306451612903,0.0570522979397781,0.9077102803738316
130,University of Nottingham,United Kingdom,"32,875",0.0634167385677308,31%,54 : 46,59.6,0.3629807692307691,0.3976164680390033,0.8649193548387096,0.0760697305863709,0.891355140186916
131,University of Antwerp,Belgium,"15,857",0.1371872303710095,17%,56 : 44,59.4,0.298076923076923,0.4203683640303359,0.903225806451613,0.7385103011093503,0.6740654205607477
131,The University of Western Australia,Australia,"18,405",0.0901639344262295,28%,49 : 51,59.4,0.2800480769230768,0.4409534127843987,0.8548387096774193,0.5118858954041206,0.9380841121495328
133,University of Technology Sydney,United States,"27,481",0.1496980155306298,31%,50 : 50,59.3,0.3040865384615384,0.3759479956663055,0.904233870967742,0.2028526148969889,0.9567757009345794
134,Case Western Reserve University,United States,"10,934",0.0336496980155306,20%,51 : 49,59.0,0.4423076923076923,0.3596966413867822,0.90625,0.1030110935023771,0.4532710280373831
135,University of Lausanne,Switzerland,"13,401",0.0422778257118205,23%,58 : 42,58.7,0.2908653846153846,0.4355362946912243,0.8286290322580645,0.561014263074485,0.9135514018691588
136,Georgetown University,United States,"16,074",0.0327868852459016,19%,54 : 46,58.6,0.5276442307692307,0.2990249187432285,0.8790322580645161,0.2709984152139461,0.4088785046728972
137,University of Exeter,United Kingdom,"24,165",0.0668679896462467,29%,53 : 47,58.5,0.2499999999999999,0.3672806067172264,0.9475806451612904,0.0364500792393027,0.9182242990654206
137,University of Ottawa,United States,"36,670",0.1104400345125107,24%,58 : 42,58.5,0.3617788461538461,0.4117009750812568,0.8245967741935483,0.2234548335974643,0.8177570093457942
139,University of Auckland,New Zealand,"33,093",0.0936151855047454,32%,56 : 44,58.4,0.3028846153846153,0.399783315276273,0.8528225806451614,0.3090332805071315,0.9369158878504672
139,Newcastle University,United States,"25,590",0.0634167385677308,29%,52 : 48,58.4,0.2608173076923076,0.3531960996749729,0.9596774193548387,0.0776545166402534,0.860981308411215
139,Radboud University Nijmegen,United States,"21,979",0.0742018981880932,13%,56 : 44,58.4,0.2800480769230768,0.4788732394366197,0.8538306451612903,0.1759112519809825,0.7079439252336448
139,University of Würzburg,Germany,"23,754",0.1738567730802416,10%,58 : 42,58.4,0.3497596153846154,0.409534127843987,0.877016129032258,0.6735340729001587,0.5046728971962617
139,University of York,United Kingdom,"17,665",0.0603968938740293,28%,56 : 44,58.4,0.3329326923076923,0.3965330444203684,0.8578629032258065,0.0237717908082408,0.8714953271028039
144,University of Pittsburgh-Pittsburgh campus,United States,"26,575",0.0220017256255392,11%,55 : 45,58.3,0.4158653846153847,0.3846153846153846,0.9052419354838708,0.115689381933439,0.3422897196261682
145,Maastricht University,Netherlands,"19,909",0.0785159620362381,56%,60 : 40,58.2,0.3221153846153846,0.457204767063922,0.7530241935483871,0.5752773375594296,0.9813084112149532
146,University of Cologne,Germany,"33,341",0.1294219154443485,16%,58 : 42,58.0,0.3954326923076923,0.4236186348862405,0.7983870967741935,0.6402535657686212,0.5876168224299065
